# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 28914273329
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  node     node                 [.] v8::internal::interpreter::ConstantArrayBuilder::ToFixedArray<v8::internal::Isolate>
     0.00%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseVariableDeclarations
     0.00%  node     node                 [.] v8::internal::ExpressionScope<v8::internal::ParserTypes<v8::internal::PreParser> >::NewVariable
     0.00%  node     node                 [.] v8::internal::Zone::ReleaseMemory
     0.00%  node     node                 [.] v8::internal::Map::RawCopy
     0.00%  node     node                 [.] v8::internal::interpreter::ConstantArrayBuilder::Insert
     0.00%  node     [kernel.kallsyms]    [k] page_remove_rmap
     0.00%  node     node                 [.] v8::internal::BackingStore::~BackingStore
     0.00%  node     node                 [.] v8::internal::CodeSerializer::Serialize
     0.00%  node     node                 [.] v8::internal::MaterializedLiteral::GetBoilerplateValue<v8::internal::Isolate>
     0.00%  node     node                 [.] Builtins_StaNamedOwnPropertyHandler
     0.00%  node     libpthread-2.31.so   [.] __errno_location
     0.00%  node     [kernel.kallsyms]    [k] get_task_policy.part.0
     0.00%  node     node                 [.] v8::internal::DeclarationScope::DeclareDefaultFunctionVariables
     0.00%  node     [kernel.kallsyms]    [k] uncharge_page
     0.00%  node     node                 [.] v8::internal::FixedArray::set
     0.00%  node     node                 [.] v8::internal::JSObject::OptimizeAsPrototype
     0.00%  node     [kernel.kallsyms]    [k] kmem_cache_alloc
     0.00%  node     [kernel.kallsyms]    [k] get_vma_policy.part.0
     0.00%  node     [kernel.kallsyms]    [k] free_unref_page_prepare.part.0
     0.00%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::AllocateRawOneByteInternalizedString
     0.00%  node     node                 [.] Builtins_KeyedLoadIC_Megamorphic
     0.00%  node     [kernel.kallsyms]    [k] __mod_node_page_state
     0.00%  node     node                 [.] v8::internal::ExpressionParsingScope<v8::internal::ParserTypes<v8::internal::PreParser> >::ExpressionParsingScope
     0.00%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseArguments
     0.00%  node     [kernel.kallsyms]    [k] fsnotify_parent
     0.00%  node     [kernel.kallsyms]    [k] update_curr
     0.00%  node     [kernel.kallsyms]    [k] ext4_es_insert_delayed_block
     0.00%  node     node                 [.] v8::internal::Scavenger::ScavengePage
     0.00%  node     node                 [.] v8::internal::MemoryChunk::AllocateSlotSet
     0.00%  node     node                 [.] v8::internal::Builtins::builtin
     0.00%  node     node                 [.] v8::internal::Factory::InitializeMap
     0.00%  node     node                 [.] v8::internal::Assembler::pushq
     0.00%  node     [kernel.kallsyms]    [k] fpregs_assert_state_consistent
     0.00%  node     node                 [.] v8::internal::Scanner::ScanDecimalAsSmiWithNumericSeparators
     0.00%  node     node                 [.] v8::internal::PrototypeIterator::Advance
     0.00%  node     node                 [.] v8::internal::AccumulationScope<v8::internal::ParserTypes<v8::internal::Parser> >::AccumulationScope
     0.00%  node     [kernel.kallsyms]    [k] task_tick_fair
     0.00%  node     node                 [.] v8::internal::Scavenger::ScavengeObject<v8::internal::FullHeapObjectSlot>
     0.00%  node     node                 [.] v8::String::NewExternalOneByte
     0.00%  node     node                 [.] v8::internal::interpreter::ConstantArrayBuilder::InsertDeferred
     0.00%  node     [kernel.kallsyms]    [k] rb_insert_color
     0.00%  node     [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     0.00%  node     node                 [.] Builtins_StoreIC_NoFeedback
     0.00%  node     node                 [.] v8::internal::PagedSpace::RefillLinearAllocationAreaFromFreeList
     0.00%  node     [kernel.kallsyms]    [k] find_next_bit
     0.00%  node     node                 [.] node::i18n::Initialize
     0.00%  node     [kernel.kallsyms]    [k] lockref_get_not_zero
     0.00%  node     [kernel.kallsyms]    [k] page_mapping
     0.00%  node     node                 [.] node::native_module::NativeModuleLoader::LoadBuiltinModuleSource
     0.00%  node     node                 [.] v8::internal::CodeSerializer::SerializeObject
     0.00%  node     [kernel.kallsyms]    [k] release_pages
     0.00%  node     [kernel.kallsyms]    [k] do_user_addr_fault
     0.00%  node     node                 [.] v8::internal::interpreter::BytecodeGenerator::PrepareAssignmentLhs
     0.00%  node     [kernel.kallsyms]    [k] pagevec_lru_move_fn
     0.00%  node     node                 [.] v8::internal::interpreter::BytecodeArrayWriter::MaybeElideLastBytecode
     0.00%  node     [kernel.kallsyms]    [k] lock_page_memcg
     0.00%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::SerializePrologue
     0.00%  node     node                 [.] v8::internal::PerIsolateAssertScope<(v8::internal::PerIsolateAssertType)0, false>::PerIsolateAssertScope
     0.00%  node     libc-2.31.so         [.] cfree@GLIBC_2.2.5
     0.00%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseLogicalExpression
     0.00%  node     libstdc++.so.6.0.28  [.] std::_Rb_tree_increment
     0.00%  node     node                 [.] Builtins_KeyedStoreIC_Megamorphic
     0.00%  node     node                 [.] v8::internal::ObjectVisitor::VisitCustomWeakPointer
     0.00%  node     node                 [.] v8::internal::Scope::Lookup<(v8::internal::Scope::ScopeLookupMode)0>
     0.00%  node     node                 [.] v8::internal::JSReceiver::GetOwnPropertyDescriptor
     0.00%  node     [kernel.kallsyms]    [k] free_pages_and_swap_cache
     0.00%  node     node                 [.] v8::internal::LookupIterator::Start<false>
     0.00%  node     node                 [.] v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Rehash
     0.00%  node     node                 [.] v8::internal::Deserializer::ReadData<v8::internal::FullMaybeObjectSlot>
     0.00%  node     libc-2.31.so         [.] __memmove_avx_unaligned_erms
     0.00%  node     node                 [.] v8::internal::UnoptimizedCompilationInfo::SourcePositionRecordingMode
     0.00%  node     [kernel.kallsyms]    [k] __ext4_get_inode_loc
     0.00%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::NewSharedFunctionInfo
     0.00%  node     [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     0.00%  node     node                 [.] v8::internal::compiler::ObjectData::IsBytecodeArray
     0.00%  node     [kernel.kallsyms]    [k] ext4_do_update_inode
     0.00%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::Rehash
     0.00%  node     libstdc++.so.6.0.28  [.] std::basic_ios<char, std::char_traits<char> >::rdbuf
     0.00%  node     node                 [.] v8::internal::Deserializer::GetBackReferencedObject
     0.00%  node     node                 [.] v8::internal::Deserializer::PostProcessNewObject
     0.00%  node     [kernel.kallsyms]    [k] cgroup_throttle_swaprate
     0.00%  node     node                 [.] v8::internal::Builtins::Lookup
     0.00%  node     libc-2.31.so         [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.00%  node     [kernel.kallsyms]    [k] __mod_memcg_state
     0.00%  node     [kernel.kallsyms]    [k] ext4_get_group_desc
     0.00%  node     [kernel.kallsyms]    [k] __d_lookup
     0.00%  node     [kernel.kallsyms]    [k] lru_cache_add_active_or_unevictable
     0.00%  node     [kernel.kallsyms]    [k] _raw_spin_lock
     0.00%  node     [kernel.kallsyms]    [k] rcu_all_qs
     0.00%  node     [kernel.kallsyms]    [k] iov_iter_copy_from_user_atomic
     0.00%  node     [kernel.kallsyms]    [k] __perf_event_task_sched_out
     0.00%  node     [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.00%  perf     [kernel.kallsyms]    [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
