# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2397426646
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.04%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseFormalParameterList
     0.04%  node     node                 [.] Builtins_LdaConstantHandler
     0.04%  node     [kernel.kallsyms]    [k] vmacache_find
     0.04%  node     node                 [.] v8::internal::compiler::LinearScanAllocator::ForwardStateTo
     0.04%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::AllocateRawOneByteInternalizedString
     0.04%  node     [kernel.kallsyms]    [k] ext4_file_write_iter
     0.04%  node     node                 [.] Cr_z_adler32_z
     0.04%  node     node                 [.] v8::internal::interpreter::BytecodeRegisterOptimizer::PrepareOutputRegister
     0.04%  node     node                 [.] v8::internal::AccumulationScope<v8::internal::ParserTypes<v8::internal::PreParser> >::~AccumulationScope
     0.04%  node     node                 [.] v8::internal::Scope::AllocateVariablesRecursively
     0.04%  node     [kernel.kallsyms]    [k] jbd2__journal_start
     0.04%  node     node                 [.] v8::internal::ExpressionScope<v8::internal::ParserTypes<v8::internal::PreParser> >::NewVariable
     0.04%  node     libstdc++.so.6.0.28  [.] std::_Hash_bytes
     0.04%  node     [kernel.kallsyms]    [k] memcpy_orig
     0.04%  node     node                 [.] v8::internal::(anonymous namespace)::JSObjectWalkVisitor<v8::internal::(anonymous namespace)::DeprecationUpdateContext>::StructureWalk
     0.04%  node     node                 [.] v8::internal::Map::SetPrototype
     0.04%  node     [kernel.kallsyms]    [k] error_entry
     0.04%  node     libstdc++.so.6.0.28  [.] std::string::append
     0.04%  node     libc-2.31.so         [.] __strlen_avx2
     0.04%  node     [kernel.kallsyms]    [k] __handle_mm_fault
     0.04%  node     [kernel.kallsyms]    [k] pick_next_task_fair
     0.04%  node     [kernel.kallsyms]    [k] crc32c_pcl_intel_update
     0.04%  node     [kernel.kallsyms]    [k] jbd2_journal_stop
     0.04%  node     node                 [.] v8::internal::StubCache::Initialize
     0.04%  node     [kernel.kallsyms]    [k] mutex_unlock
     0.04%  node     libc-2.31.so         [.] __libc_disable_asynccancel
     0.04%  node     node                 [.] v8::internal::(anonymous namespace)::CreateFillerObjectAtImpl
     0.04%  node     [kernel.kallsyms]    [k] __ext4_get_inode_loc
     0.04%  node     node                 [.] v8::internal::String::ComputeAndSetHash
     0.04%  node     node                 [.] v8::internal::compiler::GraphAssembler::~GraphAssembler
     0.04%  node     libc-2.31.so         [.] __strcpy_avx2
     0.04%  node     [kernel.kallsyms]    [k] mm_update_next_owner
     0.04%  node     [kernel.kallsyms]    [k] n_tty_write
     0.04%  node     [kernel.kallsyms]    [k] page_counter_try_charge
     0.04%  node     ld-2.31.so           [.] do_lookup_x
     0.04%  node     node                 [.] v8::internal::Builtins::Lookup
     0.03%  node     node                 [.] _GLOBAL__sub_I__ZNK2v88internal13CodeReference13constant_poolEv
     0.03%  node     node                 [.] v8::internal::Isolate::CurrentEmbeddedBlob
     0.03%  node     [kernel.kallsyms]    [k] ext4_dirty_inode
     0.03%  node     [kernel.kallsyms]    [k] __ext4_journal_start_sb
     0.03%  node     node                 [.] v8::internal::wasm::GetExportWrapperIndex
     0.03%  node     node                 [.] v8::internal::HeapObject::SizeFromMap
     0.03%  node     node                 [.] v8::internal::Map::GetOrCreatePrototypeChainValidityCell
